date,soe,total_arrivals,arrivals_male,arrivals_female
2020-01-01,Johor,1621595,905601,715994
2020-01-01,Kedah,85071,35097,49974
2020-01-01,Kelantan,40002,21170,18832
2020-01-01,Melaka,6015,2813,3202
2020-01-01,Negeri Sembilan,3398,2184,1214
2020-01-01,Pahang,1068,550,518
2020-01-01,Perak,21169,10042,11127
2020-01-01,Perlis,52560,30518,22042
2020-01-01,Pulau Pinang,66139,30241,35898
2020-01-01,Sabah,64829,29285,35544
2020-01-01,Sarawak,140162,80142,60020
2020-01-01,Selangor,817095,448654,368441
2020-01-01,Terengganu,0,0,0
2020-01-01,W.P. Labuan,3950,2526,1424
2020-02-01,Johor,1093546,671718,421828
2020-02-01,Kedah,64428,25646,38782
2020-02-01,Kelantan,39680,21932,17748
2020-02-01,Melaka,3236,1502,1734
2020-02-01,Negeri Sembilan,3259,2150,1109
2020-02-01,Pahang,449,279,170
2020-02-01,Perak,15691,7469,8222
2020-02-01,Perlis,45831,26593,19238
2020-02-01,Pulau Pinang,46197,21990,24207
2020-02-01,Sabah,30157,14245,15912
2020-02-01,Sarawak,100480,60537,39943
2020-02-01,Selangor,551924,330947,220977
2020-02-01,Terengganu,2,2,0
2020-02-01,W.P. Labuan,2442,1634,808
2020-03-01,Johor,669826,409015,260811
2020-03-01,Kedah,37180,16441,20739
2020-03-01,Kelantan,20605,10704,9901
2020-03-01,Melaka,1040,500,540
2020-03-01,Negeri Sembilan,1694,1141,553
2020-03-01,Pahang,271,147,124
2020-03-01,Perak,9620,4511,5109
2020-03-01,Perlis,29630,17261,12369
2020-03-01,Pulau Pinang,23117,10935,12182
2020-03-01,Sabah,7280,3907,3373
2020-03-01,Sarawak,49502,30001,19501
2020-03-01,Selangor,214336,133427,80909
2020-03-01,Terengganu,26,25,1
2020-03-01,W.P. Labuan,912,627,285
2020-04-01,Johor,296,236,60
2020-04-01,Kedah,13837,13161,676
2020-04-01,Kelantan,22,5,17
2020-04-01,Melaka,0,0,0
2020-04-01,Negeri Sembilan,1,1,0
2020-04-01,Pahang,0,0,0
2020-04-01,Perak,2,0,2
2020-04-01,Perlis,2,0,2
2020-04-01,Pulau Pinang,11,10,1
2020-04-01,Sabah,18,2,16
2020-04-01,Sarawak,470,438,32
2020-04-01,Selangor,416,231,185
2020-04-01,Terengganu,0,0,0
2020-04-01,W.P. Labuan,2,2,0
2020-05-01,Johor,221,206,15
2020-05-01,Kedah,12924,12109,815
2020-05-01,Kelantan,18,6,12
2020-05-01,Melaka,0,0,0
2020-05-01,Negeri Sembilan,0,0,0
2020-05-01,Pahang,2,2,0
2020-05-01,Perak,0,0,0
2020-05-01,Perlis,24,3,21
2020-05-01,Pulau Pinang,1,1,0
2020-05-01,Sabah,19,11,8
2020-05-01,Sarawak,454,432,22
2020-05-01,Selangor,617,423,194
2020-05-01,Terengganu,0,0,0
2020-05-01,W.P. Labuan,2,2,0
2020-06-01,Johor,387,344,43
2020-06-01,Kedah,11743,11001,742
2020-06-01,Kelantan,21,3,18
2020-06-01,Melaka,0,0,0
2020-06-01,Negeri Sembilan,0,0,0
2020-06-01,Pahang,0,0,0
2020-06-01,Perak,5,2,3
2020-06-01,Perlis,3,0,3
2020-06-01,Pulau Pinang,18,4,14
2020-06-01,Sabah,33,6,27
2020-06-01,Sarawak,946,902,44
2020-06-01,Selangor,1238,835,403
2020-06-01,Terengganu,1,1,0
2020-06-01,W.P. Labuan,5,5,0
2020-07-01,Johor,811,686,125
2020-07-01,Kedah,10020,9349,671
2020-07-01,Kelantan,9,1,8
2020-07-01,Melaka,0,0,0
2020-07-01,Negeri Sembilan,0,0,0
2020-07-01,Pahang,0,0,0
2020-07-01,Perak,10,1,9
2020-07-01,Perlis,2564,2511,53
2020-07-01,Pulau Pinang,24,10,14
2020-07-01,Sabah,95,31,64
2020-07-01,Sarawak,1193,1105,88
2020-07-01,Selangor,5608,3905,1703
2020-07-01,Terengganu,0,0,0
2020-07-01,W.P. Labuan,11,8,3
2020-08-01,Johor,831,759,72
2020-08-01,Kedah,10339,9527,812
2020-08-01,Kelantan,3,1,2
2020-08-01,Melaka,0,0,0
2020-08-01,Negeri Sembilan,0,0,0
2020-08-01,Pahang,0,0,0
2020-08-01,Perak,4,3,1
2020-08-01,Perlis,4320,4195,125
2020-08-01,Pulau Pinang,36,22,14
2020-08-01,Sabah,37,18,19
2020-08-01,Sarawak,808,724,84
2020-08-01,Selangor,5845,3899,1946
2020-08-01,Terengganu,0,0,0
2020-08-01,W.P. Labuan,6,4,2
2020-09-01,Johor,1314,1196,118
2020-09-01,Kedah,9295,8594,701
2020-09-01,Kelantan,7,1,6
2020-09-01,Melaka,0,0,0
2020-09-01,Negeri Sembilan,0,0,0
2020-09-01,Pahang,1,1,0
2020-09-01,Perak,3,1,2
2020-09-01,Perlis,5202,5042,160
2020-09-01,Pulau Pinang,26,21,5
2020-09-01,Sabah,21,9,12
2020-09-01,Sarawak,848,754,94
2020-09-01,Selangor,5915,4187,1728
2020-09-01,Terengganu,0,0,0
2020-09-01,W.P. Labuan,10,8,2
2020-10-01,Johor,1154,1053,101
2020-10-01,Kedah,9606,8867,739
2020-10-01,Kelantan,1,0,1
2020-10-01,Melaka,2,1,1
2020-10-01,Negeri Sembilan,0,0,0
2020-10-01,Pahang,0,0,0
2020-10-01,Perak,5,2,3
2020-10-01,Perlis,5489,5275,214
2020-10-01,Pulau Pinang,66,46,20
2020-10-01,Sabah,2,2,0
2020-10-01,Sarawak,642,562,80
2020-10-01,Selangor,5777,4295,1482
2020-10-01,Terengganu,0,0,0
2020-10-01,W.P. Labuan,5,5,0
2020-11-01,Johor,1017,908,109
2020-11-01,Kedah,10592,9806,786
2020-11-01,Kelantan,5,2,3
2020-11-01,Melaka,0,0,0
2020-11-01,Negeri Sembilan,0,0,0
2020-11-01,Pahang,0,0,0
2020-11-01,Perak,15,7,8
2020-11-01,Perlis,6796,6467,329
2020-11-01,Pulau Pinang,98,68,30
2020-11-01,Sabah,5,4,1
2020-11-01,Sarawak,1025,963,62
2020-11-01,Selangor,5407,4101,1306
2020-11-01,Terengganu,0,0,0
2020-11-01,W.P. Labuan,13,11,2
2020-12-01,Johor,947,825,122
2020-12-01,Kedah,14207,13895,312
2020-12-01,Kelantan,2,1,1
2020-12-01,Melaka,10,10,0
2020-12-01,Negeri Sembilan,0,0,0
2020-12-01,Pahang,1,1,0
2020-12-01,Perak,6,3,3
2020-12-01,Perlis,8797,8411,386
2020-12-01,Pulau Pinang,96,63,33
2020-12-01,Sabah,11,8,3
2020-12-01,Sarawak,853,829,24
2020-12-01,Selangor,4939,3647,1292
2020-12-01,Terengganu,20,20,0
2020-12-01,W.P. Labuan,8,8,0
2021-01-01,Johor,752,663,89
2021-01-01,Kedah,17928,17913,15
2021-01-01,Kelantan,0,0,0
2021-01-01,Melaka,0,0,0
2021-01-01,Negeri Sembilan,0,0,0
2021-01-01,Pahang,0,0,0
2021-01-01,Perak,9,4,5
2021-01-01,Perlis,9933,9483,450
2021-01-01,Pulau Pinang,91,49,42
2021-01-01,Sabah,10,6,4
2021-01-01,Sarawak,946,915,31
2021-01-01,Selangor,6179,4663,1516
2021-01-01,Terengganu,13,13,0
2021-01-01,W.P. Labuan,6,6,0
2021-02-01,Johor,819,720,99
2021-02-01,Kedah,16131,16088,43
2021-02-01,Kelantan,3,1,2
2021-02-01,Melaka,0,0,0
2021-02-01,Negeri Sembilan,0,0,0
2021-02-01,Pahang,0,0,0
2021-02-01,Perak,6,2,4
2021-02-01,Perlis,9335,8951,384
2021-02-01,Pulau Pinang,101,65,36
2021-02-01,Sabah,18,8,10
2021-02-01,Sarawak,756,740,16
2021-02-01,Selangor,6120,4659,1461
2021-02-01,Terengganu,11,11,0
2021-02-01,W.P. Labuan,9,9,0
2021-03-01,Johor,932,819,113
2021-03-01,Kedah,19205,19153,52
2021-03-01,Kelantan,4,2,2
2021-03-01,Melaka,2,0,2
2021-03-01,Negeri Sembilan,0,0,0
2021-03-01,Pahang,1,1,0
2021-03-01,Perak,4,0,4
2021-03-01,Perlis,10974,10616,358
2021-03-01,Pulau Pinang,157,99,58
2021-03-01,Sabah,18,18,0
2021-03-01,Sarawak,1087,1059,28
2021-03-01,Selangor,10026,7211,2815
2021-03-01,Terengganu,18,18,0
2021-03-01,W.P. Labuan,6,3,3
2021-04-01,Johor,842,748,94
2021-04-01,Kedah,17851,17811,40
2021-04-01,Kelantan,5,2,3
2021-04-01,Melaka,0,0,0
2021-04-01,Negeri Sembilan,0,0,0
2021-04-01,Pahang,3,3,0
2021-04-01,Perak,10,4,6
2021-04-01,Perlis,8160,7879,281
2021-04-01,Pulau Pinang,109,63,46
2021-04-01,Sabah,7,5,2
2021-04-01,Sarawak,981,952,29
2021-04-01,Selangor,9902,7215,2687
2021-04-01,Terengganu,0,0,0
2021-04-01,W.P. Labuan,10,10,0
2021-05-01,Johor,449,412,37
2021-05-01,Kedah,18426,18383,43
2021-05-01,Kelantan,1,1,0
2021-05-01,Melaka,0,0,0
2021-05-01,Negeri Sembilan,0,0,0
2021-05-01,Pahang,3,3,0
2021-05-01,Perak,9,2,7
2021-05-01,Perlis,8617,8382,235
2021-05-01,Pulau Pinang,134,90,44
2021-05-01,Sabah,12,6,6
2021-05-01,Sarawak,899,878,21
2021-05-01,Selangor,6865,5134,1731
2021-05-01,Terengganu,4,4,0
2021-05-01,W.P. Labuan,15,14,1
2021-06-01,Johor,134,114,20
2021-06-01,Kedah,16891,16846,45
2021-06-01,Kelantan,1,0,1
2021-06-01,Melaka,0,0,0
2021-06-01,Negeri Sembilan,0,0,0
2021-06-01,Pahang,0,0,0
2021-06-01,Perak,1,1,0
2021-06-01,Perlis,7248,7164,84
2021-06-01,Pulau Pinang,347,323,24
2021-06-01,Sabah,4,2,2
2021-06-01,Sarawak,811,788,23
2021-06-01,Selangor,4170,3174,996
2021-06-01,Terengganu,0,0,0
2021-06-01,W.P. Labuan,0,0,0
2021-07-01,Johor,197,163,34
2021-07-01,Kedah,17481,17441,40
2021-07-01,Kelantan,3,1,2
2021-07-01,Melaka,2,1,1
2021-07-01,Negeri Sembilan,0,0,0
2021-07-01,Pahang,0,0,0
2021-07-01,Perak,1,0,1
2021-07-01,Perlis,6961,6879,82
2021-07-01,Pulau Pinang,162,93,69
2021-07-01,Sabah,5,5,0
2021-07-01,Sarawak,976,953,23
2021-07-01,Selangor,5528,3946,1582
2021-07-01,Terengganu,0,0,0
2021-07-01,W.P. Labuan,15,15,0
2021-08-01,Johor,185,154,31
2021-08-01,Kedah,16343,16303,40
2021-08-01,Kelantan,0,0,0
2021-08-01,Melaka,0,0,0
2021-08-01,Negeri Sembilan,0,0,0
2021-08-01,Pahang,0,0,0
2021-08-01,Perak,3,1,2
2021-08-01,Perlis,7382,7321,61
2021-08-01,Pulau Pinang,257,194,63
2021-08-01,Sabah,7,5,2
2021-08-01,Sarawak,702,682,20
2021-08-01,Selangor,6770,4677,2093
2021-08-01,Terengganu,0,0,0
2021-08-01,W.P. Labuan,9,9,0
2021-09-01,Johor,206,171,35
2021-09-01,Kedah,18833,18787,46
2021-09-01,Kelantan,6,4,2
2021-09-01,Melaka,0,0,0
2021-09-01,Negeri Sembilan,0,0,0
2021-09-01,Pahang,0,0,0
2021-09-01,Perak,2,0,2
2021-09-01,Perlis,7743,7662,81
2021-09-01,Pulau Pinang,267,197,70
2021-09-01,Sabah,2,1,1
2021-09-01,Sarawak,674,652,22
2021-09-01,Selangor,7276,5165,2111
2021-09-01,Terengganu,1,1,0
2021-09-01,W.P. Labuan,7,7,0
2021-10-01,Johor,306,255,51
2021-10-01,Kedah,19383,19342,41
2021-10-01,Kelantan,0,0,0
2021-10-01,Melaka,0,0,0
2021-10-01,Negeri Sembilan,0,0,0
2021-10-01,Pahang,0,0,0
2021-10-01,Perak,7,2,5
2021-10-01,Perlis,7956,7845,111
2021-10-01,Pulau Pinang,282,170,112
2021-10-01,Sabah,10,7,3
2021-10-01,Sarawak,570,546,24
2021-10-01,Selangor,10050,6806,3244
2021-10-01,Terengganu,0,0,0
2021-10-01,W.P. Labuan,0,0,0
2021-11-01,Johor,620,448,172
2021-11-01,Kedah,18318,18257,61
2021-11-01,Kelantan,4,0,4
2021-11-01,Melaka,3,3,0
2021-11-01,Negeri Sembilan,0,0,0
2021-11-01,Pahang,0,0,0
2021-11-01,Perak,5,3,2
2021-11-01,Perlis,7404,7291,113
2021-11-01,Pulau Pinang,366,235,131
2021-11-01,Sabah,35,19,16
2021-11-01,Sarawak,811,764,47
2021-11-01,Selangor,14754,10506,4248
2021-11-01,Terengganu,0,0,0
2021-11-01,W.P. Labuan,3,3,0
2021-12-01,Johor,3185,1785,1400
2021-12-01,Kedah,18257,18143,114
2021-12-01,Kelantan,0,0,0
2021-12-01,Melaka,0,0,0
2021-12-01,Negeri Sembilan,0,0,0
2021-12-01,Pahang,0,0,0
2021-12-01,Perak,12,7,5
2021-12-01,Perlis,9208,9061,147
2021-12-01,Pulau Pinang,366,239,127
2021-12-01,Sabah,28,13,15
2021-12-01,Sarawak,694,627,67
2021-12-01,Selangor,45375,30454,14921
2021-12-01,Terengganu,0,0,0
2021-12-01,W.P. Labuan,10,10,0
2022-01-01,Johor,4815,2632,2183
2022-01-01,Kedah,18605,18428,177
2022-01-01,Kelantan,4,1,3
2022-01-01,Melaka,0,0,0
2022-01-01,Negeri Sembilan,0,0,0
2022-01-01,Pahang,0,0,0
2022-01-01,Perak,13,5,8
2022-01-01,Perlis,9168,9012,156
2022-01-01,Pulau Pinang,266,167,99
2022-01-01,Sabah,40,19,21
2022-01-01,Sarawak,1008,913,95
2022-01-01,Selangor,42628,28890,13738
2022-01-01,Terengganu,0,0,0
2022-01-01,W.P. Labuan,12,12,0
2022-02-01,Johor,3236,1876,1360
2022-02-01,Kedah,16919,16704,215
2022-02-01,Kelantan,15,6,9
2022-02-01,Melaka,0,0,0
2022-02-01,Negeri Sembilan,0,0,0
2022-02-01,Pahang,0,0,0
2022-02-01,Perak,13,3,10
2022-02-01,Perlis,8533,8416,117
2022-02-01,Pulau Pinang,471,387,84
2022-02-01,Sabah,18,10,8
2022-02-01,Sarawak,778,707,71
2022-02-01,Selangor,38753,27675,11078
2022-02-01,Terengganu,0,0,0
2022-02-01,W.P. Labuan,17,17,0
2022-03-01,Johor,8338,4931,3407
2022-03-01,Kedah,20277,19980,297
2022-03-01,Kelantan,14,13,1
2022-03-01,Melaka,13,0,13
2022-03-01,Negeri Sembilan,0,0,0
2022-03-01,Pahang,0,0,0
2022-03-01,Perak,8,6,2
2022-03-01,Perlis,10164,10007,157
2022-03-01,Pulau Pinang,1619,935,684
2022-03-01,Sabah,30,15,15
2022-03-01,Sarawak,950,880,70
2022-03-01,Selangor,51030,35766,15264
2022-03-01,Terengganu,0,0,0
2022-03-01,W.P. Labuan,12,12,0
2022-04-01,Johor,435671,268606,167065
2022-04-01,Kedah,21177,18506,2671
2022-04-01,Kelantan,8,7,1
2022-04-01,Melaka,16,10,6
2022-04-01,Negeri Sembilan,6,5,1
2022-04-01,Pahang,41,31,10
2022-04-01,Perak,1241,585,656
2022-04-01,Perlis,10089,9814,275
2022-04-01,Pulau Pinang,10484,5565,4919
2022-04-01,Sabah,1733,941,792
2022-04-01,Sarawak,3082,2160,922
2022-04-01,Selangor,121109,76340,44769
2022-04-01,Terengganu,2,2,0
2022-04-01,W.P. Labuan,31,22,9
2022-05-01,Johor,709855,431647,278208
2022-05-01,Kedah,31734,22805,8929
2022-05-01,Kelantan,3846,1929,1917
2022-05-01,Melaka,2979,1356,1623
2022-05-01,Negeri Sembilan,2778,1806,972
2022-05-01,Pahang,92,72,20
2022-05-01,Perak,2943,1275,1668
2022-05-01,Perlis,25309,17785,7524
2022-05-01,Pulau Pinang,24031,11961,12070
2022-05-01,Sabah,5174,2686,2488
2022-05-01,Sarawak,16045,10649,5396
2022-05-01,Selangor,212367,129850,82517
2022-05-01,Terengganu,0,0,0
2022-05-01,W.P. Labuan,28,21,7
2022-06-01,Johor,943173,546327,396846
2022-06-01,Kedah,43811,28242,15569
2022-06-01,Kelantan,8887,3963,4924
2022-06-01,Melaka,5730,2585,3145
2022-06-01,Negeri Sembilan,5760,4021,1739
2022-06-01,Pahang,53,43,10
2022-06-01,Perak,7696,3642,4054
2022-06-01,Perlis,41620,26753,14867
2022-06-01,Pulau Pinang,38589,18547,20042
2022-06-01,Sabah,10590,5082,5508
2022-06-01,Sarawak,29014,17923,11091
2022-06-01,Selangor,254120,156399,97721
2022-06-01,Terengganu,7,7,0
2022-06-01,W.P. Labuan,42,25,17
2022-07-01,Johor,1125995,655916,470079
2022-07-01,Kedah,53769,31280,22489
2022-07-01,Kelantan,16009,7651,8358
2022-07-01,Melaka,6265,2683,3582
2022-07-01,Negeri Sembilan,6090,4057,2033
2022-07-01,Pahang,85,67,18
2022-07-01,Perak,10885,5257,5628
2022-07-01,Perlis,50675,31822,18853
2022-07-01,Pulau Pinang,43801,20401,23400
2022-07-01,Sabah,19694,9315,10379
2022-07-01,Sarawak,35179,20376,14803
2022-07-01,Selangor,331379,197924,133455
2022-07-01,Terengganu,0,0,0
2022-07-01,W.P. Labuan,64,36,28
2022-08-01,Johor,1122353,654584,467769
2022-08-01,Kedah,49025,31879,17146
2022-08-01,Kelantan,29539,14719,14820
2022-08-01,Melaka,6512,2778,3734
2022-08-01,Negeri Sembilan,7508,5244,2264
2022-08-01,Pahang,190,141,49
