date,soe,total_arrivals,arrivals_male,arrivals_female
2022-08-01,Perak,12303,5908,6395
2022-08-01,Perlis,65702,39807,25895
2022-08-01,Pulau Pinang,45781,21281,24500
2022-08-01,Sabah,19225,9137,10088
2022-08-01,Sarawak,63655,35833,27822
2022-08-01,Selangor,385927,238039,147888
2022-08-01,Terengganu,0,0,0
2022-08-01,W.P. Labuan,653,401,252
2022-09-01,Johor,1202442,680944,521498
2022-09-01,Kedah,53695,30908,22787
2022-09-01,Kelantan,30029,15427,14602
2022-09-01,Melaka,7883,3526,4357
2022-09-01,Negeri Sembilan,6848,4706,2142
2022-09-01,Pahang,230,162,68
2022-09-01,Perak,9785,5006,4779
2022-09-01,Perlis,48378,29251,19127
2022-09-01,Pulau Pinang,49737,22618,27119
2022-09-01,Sabah,17259,8460,8799
2022-09-01,Sarawak,90338,49614,40724
2022-09-01,Selangor,382603,243982,138621
2022-09-01,Terengganu,16,13,3
2022-09-01,W.P. Labuan,940,641,299
2022-10-01,Johor,1208015,684451,523564
2022-10-01,Kedah,76669,42765,33904
2022-10-01,Kelantan,38130,19621,18509
2022-10-01,Melaka,6778,3113,3665
2022-10-01,Negeri Sembilan,7422,5074,2348
2022-10-01,Pahang,132,94,38
2022-10-01,Perak,14232,6674,7558
2022-10-01,Perlis,58279,34034,24245
2022-10-01,Pulau Pinang,55019,25274,29745
2022-10-01,Sabah,17484,8372,9112
2022-10-01,Sarawak,95953,53122,42831
2022-10-01,Selangor,443226,273074,170152
2022-10-01,Terengganu,4,2,2
2022-10-01,W.P. Labuan,1026,735,291
2022-11-01,Johor,1214628,685950,528678
2022-11-01,Kedah,74452,43350,31102
2022-11-01,Kelantan,33210,17724,15486
2022-11-01,Melaka,5202,2374,2828
2022-11-01,Negeri Sembilan,6805,4590,2215
2022-11-01,Pahang,59,36,23
2022-11-01,Perak,15485,7371,8114
2022-11-01,Perlis,55300,34064,21236
2022-11-01,Pulau Pinang,54970,25382,29588
2022-11-01,Sabah,21324,10170,11154
2022-11-01,Sarawak,98435,53936,44499
2022-11-01,Selangor,467311,291966,175345
2022-11-01,Terengganu,4,4,0
2022-11-01,W.P. Labuan,1234,848,386
2022-12-01,Johor,1395639,749842,645797
2022-12-01,Kedah,76994,42791,34203
2022-12-01,Kelantan,26458,13404,13054
2022-12-01,Melaka,8007,3550,4457
2022-12-01,Negeri Sembilan,7009,4512,2497
2022-12-01,Pahang,721,355,366
2022-12-01,Perak,18264,8737,9527
2022-12-01,Perlis,54034,32716,21318
2022-12-01,Pulau Pinang,65816,30457,35359
2022-12-01,Sabah,29583,13640,15943
2022-12-01,Sarawak,193715,99084,94631
2022-12-01,Selangor,521992,306365,215627
2022-12-01,Terengganu,0,0,0
2022-12-01,W.P. Labuan,2316,1381,935
2023-01-01,Johor,1234076,693195,540881
2023-01-01,Kedah,85209,47879,37330
2023-01-01,Kelantan,49955,26718,23237
2023-01-01,Melaka,5387,2439,2948
2023-01-01,Negeri Sembilan,8081,5576,2505
2023-01-01,Pahang,502,270,232
2023-01-01,Perak,15179,7281,7898
2023-01-01,Perlis,59072,36310,22762
2023-01-01,Pulau Pinang,68457,30865,37592
2023-01-01,Sabah,37889,17466,20423
2023-01-01,Sarawak,140685,76058,64627
2023-01-01,Selangor,528858,309683,219175
2023-01-01,Terengganu,0,0,0
2023-01-01,W.P. Labuan,1622,1113,509
2023-02-01,Johor,1096031,629023,467008
2023-02-01,Kedah,82858,46952,35906
2023-02-01,Kelantan,51162,27656,23506
2023-02-01,Melaka,5254,2330,2924
2023-02-01,Negeri Sembilan,9828,6595,3233
2023-02-01,Pahang,220,122,98
2023-02-01,Perak,15986,7728,8258
2023-02-01,Perlis,56894,34793,22101
2023-02-01,Pulau Pinang,65039,30647,34392
2023-02-01,Sabah,33907,15549,18358
2023-02-01,Sarawak,132326,72075,60251
2023-02-01,Selangor,495852,313058,182794
2023-02-01,Terengganu,3,3,0
2023-02-01,W.P. Labuan,1946,1277,669
2023-03-01,Johor,1301585,727417,574168
2023-03-01,Kedah,100620,56619,44001
2023-03-01,Kelantan,58591,29810,28781
2023-03-01,Melaka,4596,2112,2484
2023-03-01,Negeri Sembilan,8450,5520,2930
2023-03-01,Pahang,261,145,116
2023-03-01,Perak,21201,10068,11133
2023-03-01,Perlis,69607,42179,27428
2023-03-01,Pulau Pinang,74385,35487,38898
2023-03-01,Sabah,37411,17004,20407
2023-03-01,Sarawak,141193,77147,64046
2023-03-01,Selangor,568760,351170,217590
2023-03-01,Terengganu,18,18,0
2023-03-01,W.P. Labuan,1425,978,447
2023-04-01,Johor,1227351,682404,544947
2023-04-01,Kedah,85744,45197,40547
2023-04-01,Kelantan,46894,23322,23572
2023-04-01,Melaka,5639,2551,3088
2023-04-01,Negeri Sembilan,4340,2174,2166
2023-04-01,Pahang,838,448,390
2023-04-01,Perak,19131,8797,10334
2023-04-01,Perlis,54352,31556,22796
2023-04-01,Pulau Pinang,76242,35061,41181
2023-04-01,Sabah,36694,17302,19392
2023-04-01,Sarawak,173088,90593,82495
2023-04-01,Selangor,549762,318485,231277
2023-04-01,Terengganu,1,1,0
2023-04-01,W.P. Labuan,2291,1383,908
2023-05-01,Johor,1298501,738863,559638
2023-05-01,Kedah,91007,49427,41580
2023-05-01,Kelantan,52302,27611,24691
2023-05-01,Melaka,5255,2309,2946
2023-05-01,Negeri Sembilan,14303,10163,4140
2023-05-01,Pahang,804,466,338
2023-05-01,Perak,20150,9570,10580
2023-05-01,Perlis,62963,37883,25080
2023-05-01,Pulau Pinang,82247,39064,43183
2023-05-01,Sabah,41970,19557,22413
2023-05-01,Sarawak,147533,84447,63086
2023-05-01,Selangor,597519,355223,242296
2023-05-01,Terengganu,1,1,0
2023-05-01,W.P. Labuan,1741,1110,631
2023-06-01,Johor,1510345,820088,690257
2023-06-01,Kedah,77066,41554,35512
2023-06-01,Kelantan,36763,19306,17457
2023-06-01,Melaka,5218,2463,2755
2023-06-01,Negeri Sembilan,5034,3303,1731
2023-06-01,Pahang,998,523,475
2023-06-01,Perak,18571,8623,9948
2023-06-01,Perlis,46491,26832,19659
2023-06-01,Pulau Pinang,102625,47470,55155
2023-06-01,Sabah,25499,12113,13386
2023-06-01,Sarawak,120392,64628,55764
2023-06-01,Selangor,449001,270555,178446
2023-06-01,Terengganu,3,3,0
2023-06-01,W.P. Labuan,1587,1042,545
2023-07-01,Johor,1545948,850439,695509
2023-07-01,Kedah,85599,46887,38712
2023-07-01,Kelantan,50017,26773,23244
2023-07-01,Melaka,5261,2352,2909
2023-07-01,Negeri Sembilan,6499,4501,1998
2023-07-01,Pahang,716,396,320
2023-07-01,Perak,21446,9793,11653
2023-07-01,Perlis,65446,38392,27054
2023-07-01,Pulau Pinang,96735,44357,52378
2023-07-01,Sabah,31337,14535,16802
2023-07-01,Sarawak,128541,68707,59834
2023-07-01,Selangor,790911,442236,348675
2023-07-01,Terengganu,1,1,0
2023-07-01,W.P. Labuan,1360,934,426
2023-08-01,Johor,1510486,844529,665957
2023-08-01,Kedah,76758,42486,34272
2023-08-01,Kelantan,35798,19658,16140
2023-08-01,Melaka,3466,1678,1788
2023-08-01,Negeri Sembilan,7275,4710,2565
2023-08-01,Pahang,752,428,324
2023-08-01,Perak,19302,9118,10184
2023-08-01,Perlis,48127,27786,20341
2023-08-01,Pulau Pinang,91936,43292,48644
2023-08-01,Sabah,9825,4896,4929
2023-08-01,Sarawak,112505,61296,51209
2023-08-01,Selangor,782907,450015,332892
2023-08-01,Terengganu,0,0,0
2023-08-01,W.P. Labuan,2290,1426,864
2023-09-01,Johor,1599539,881702,717837
2023-09-01,Kedah,85836,49393,36443
2023-09-01,Kelantan,35224,19490,15734
2023-09-01,Melaka,4227,1879,2348
2023-09-01,Negeri Sembilan,6045,3875,2170
2023-09-01,Pahang,1103,600,503
2023-09-01,Perak,17552,8141,9411
2023-09-01,Perlis,53629,31041,22588
2023-09-01,Pulau Pinang,87334,42280,45054
2023-09-01,Sabah,9078,4479,4599
2023-09-01,Sarawak,113165,62094,51071
2023-09-01,Selangor,704265,408872,295393
2023-09-01,Terengganu,3,2,1
2023-09-01,W.P. Labuan,1469,998,471
2023-10-01,Johor,1575638,879290,696348
2023-10-01,Kedah,98794,55547,43247
2023-10-01,Kelantan,47679,25452,22227
2023-10-01,Melaka,3539,1571,1968
2023-10-01,Negeri Sembilan,5098,3048,2050
2023-10-01,Pahang,972,585,387
2023-10-01,Perak,18819,8679,10140
2023-10-01,Perlis,60062,33111,26951
2023-10-01,Pulau Pinang,86296,40163,46133
2023-10-01,Sabah,7936,4102,3834
2023-10-01,Sarawak,106667,59316,47351
2023-10-01,Selangor,643447,367295,276152
2023-10-01,Terengganu,4,4,0
2023-10-01,W.P. Labuan,1328,934,394
2023-11-01,Johor,1558439,856873,701566
2023-11-01,Kedah,90711,51274,39437
2023-11-01,Kelantan,40481,21136,19345
2023-11-01,Melaka,3716,1708,2008
2023-11-01,Negeri Sembilan,5535,3388,2147
2023-11-01,Pahang,761,401,360
2023-11-01,Perak,19230,8939,10291
2023-11-01,Perlis,55721,32157,23564
2023-11-01,Pulau Pinang,94156,44464,49692
2023-11-01,Sabah,30563,14346,16217
2023-11-01,Sarawak,113059,62443,50616
2023-11-01,Selangor,649129,374771,274358
2023-11-01,Terengganu,17,14,3
2023-11-01,W.P. Labuan,1651,1108,543
2023-12-01,Johor,1753136,934618,818518
2023-12-01,Kedah,106836,58873,47963
2023-12-01,Kelantan,42337,21688,20649
2023-12-01,Melaka,5419,2320,3099
2023-12-01,Negeri Sembilan,5127,2649,2478
2023-12-01,Pahang,1284,649,635
2023-12-01,Perak,22667,10285,12382
2023-12-01,Perlis,53904,30699,23205
2023-12-01,Pulau Pinang,107555,50553,57002
2023-12-01,Sabah,52232,23676,28556
2023-12-01,Sarawak,230361,120799,109562
2023-12-01,Selangor,792830,435062,357768
2023-12-01,Terengganu,1,1,0
2023-12-01,W.P. Labuan,3817,2308,1509
2024-01-01,Johor,1155378,639527,515851
2024-01-01,Kedah,110507,61870,48637
2024-01-01,Kelantan,53671,28095,25576
2024-01-01,Melaka,3497,1663,1834
2024-01-01,Negeri Sembilan,4844,2802,2042
2024-01-01,Pahang,556,313,243
2024-01-01,Perak,16969,7976,8993
2024-01-01,Perlis,58898,35138,23760
2024-01-01,Pulau Pinang,98132,44646,53486
2024-01-01,Sabah,67279,29696,37583
2024-01-01,Sarawak,176310,95746,80564
2024-01-01,Selangor,825945,452257,373688
2024-01-01,Terengganu,15,15,0
2024-01-01,W.P. Labuan,1412,958,454
2024-02-01,Johor,1389651,768268,621383
2024-02-01,Kedah,104399,56535,47864
2024-02-01,Kelantan,56124,28910,27214
2024-02-01,Melaka,3291,1479,1812
2024-02-01,Negeri Sembilan,4411,2567,1844
2024-02-01,Pahang,714,367,347
2024-02-01,Perak,19533,9124,10409
2024-02-01,Perlis,58854,33724,25130
2024-02-01,Pulau Pinang,88273,41291,46982
2024-02-01,Sabah,68963,30981,37982
2024-02-01,Sarawak,190621,101221,89400
2024-02-01,Selangor,804850,430744,374106
2024-02-01,Terengganu,24,15,9
2024-02-01,W.P. Labuan,2576,1590,986
2024-03-01,Johor,1882339,1010380,871959
2024-03-01,Kedah,101507,55998,45509
2024-03-01,Kelantan,61724,30496,31228
2024-03-01,Melaka,3074,1413,1661
2024-03-01,Negeri Sembilan,4954,2816,2138
2024-03-01,Pahang,1111,614,497
2024-03-01,Perak,22246,10455,11791
2024-03-01,Perlis,59513,34402,25111
2024-03-01,Pulau Pinang,124257,57580,66677
2024-03-01,Sabah,50964,21968,28996
2024-03-01,Sarawak,214777,112393,102384
2024-03-01,Selangor,725189,397969,327220
2024-03-01,Terengganu,16,10,6
2024-03-01,W.P. Labuan,1590,1040,550
2024-04-01,Johor,1637745,912098,725647
2024-04-01,Kedah,68372,36233,32139
2024-04-01,Kelantan,55767,27666,28101
2024-04-01,Melaka,4776,2122,2654
2024-04-01,Negeri Sembilan,5204,3169,2035
2024-04-01,Pahang,695,377,318
2024-04-01,Perak,19059,8806,10253
2024-04-01,Perlis,55692,31206,24486
2024-04-01,Pulau Pinang,85610,39921,45689
2024-04-01,Sabah,39348,17643,21705
2024-04-01,Sarawak,231503,122358,109145
2024-04-01,Selangor,728498,392344,336154
2024-04-01,Terengganu,21,5,16
2024-04-01,W.P. Labuan,1962,1161,801
2024-05-01,Johor,1793130,988447,804683
2024-05-01,Kedah,88882,46709,42173
2024-05-01,Kelantan,57354,29172,28182
2024-05-01,Melaka,3982,1770,2212
2024-05-01,Negeri Sembilan,9700,6429,3271
2024-05-01,Pahang,1123,632,491
2024-05-01,Perak,16818,7779,9039
2024-05-01,Perlis,51422,29370,22052
2024-05-01,Pulau Pinang,99646,46644,53002
2024-05-01,Sabah,47592,21425,26167
2024-05-01,Sarawak,207635,114235,93400
2024-05-01,Selangor,819542,478907,340635
2024-05-01,Terengganu,1,1,0
2024-05-01,W.P. Labuan,2043,1209,834
2024-06-01,Johor,2077267,1112617,964650
2024-06-01,Kedah,72074,37301,34773
2024-06-01,Kelantan,51685,25848,25837
2024-06-01,Melaka,5367,2433,2934
2024-06-01,Negeri Sembilan,7176,4300,2876
2024-06-01,Pahang,1226,666,560
2024-06-01,Perak,20088,9419,10669
2024-06-01,Perlis,52325,29122,23203
2024-06-01,Pulau Pinang,112060,51518,60542
2024-06-01,Sabah,59708,26005,33703
2024-06-01,Sarawak,205241,108896,96345
2024-06-01,Selangor,853615,445853,407762
2024-06-01,Terengganu,5,5,0
2024-06-01,W.P. Labuan,1595,1049,546
2024-07-01,Johor,1944790,1058351,886439
2024-07-01,Kedah,77367,40407,36960
2024-07-01,Kelantan,52115,26448,25667
2024-07-01,Melaka,3801,1738,2063
2024-07-01,Negeri Sembilan,6692,4141,2551
2024-07-01,Pahang,856,471,385
2024-07-01,Perak,18212,8244,9968
2024-07-01,Perlis,54641,30867,23774
2024-07-01,Pulau Pinang,113961,51997,61964
2024-07-01,Sabah,70638,30896,39742
2024-07-01,Sarawak,211977,113645,98332
2024-07-01,Selangor,971964,494031,477933
2024-07-01,Terengganu,2,1,1
2024-07-01,W.P. Labuan,1327,850,477
2024-08-01,Johor,2094522,1140988,953534
2024-08-01,Kedah,81258,42183,39075
2024-08-01,Kelantan,53854,26998,26856
2024-08-01,Melaka,2887,1303,1584
2024-08-01,Negeri Sembilan,6762,4012,2750
2024-08-01,Pahang,851,465,386
2024-08-01,Perak,17423,8026,9397
2024-08-01,Perlis,55128,30653,24475
2024-08-01,Pulau Pinang,115088,53260,61828
2024-08-01,Sabah,79734,34884,44850
2024-08-01,Sarawak,237740,126255,111485
2024-08-01,Selangor,1023369,522407,500962
2024-08-01,W.P. Labuan,2216,1337,879
2024-09-01,Johor,1928709,1057654,871055
2024-09-01,Kedah,62025,32300,29725
2024-09-01,Kelantan,49953,25047,24906
2024-09-01,Melaka,3747,1720,2027
2024-09-01,Negeri Sembilan,6573,3699,2874
2024-09-01,Pahang,860,454,406
2024-09-01,Perak,15831,7166,8665
2024-09-01,Perlis,55072,30607,24465
2024-09-01,Pulau Pinang,99052,46944,52108
2024-09-01,Sabah,55672,24101,31571
2024-09-01,Sarawak,171738,92541,79197
2024-09-01,Selangor,777885,423626,354259
2024-09-01,W.P. Labuan,1555,1078,477
2024-10-01,Johor,1841017,1015265,825752
2024-10-01,Kedah,62119,32829,29290
2024-10-01,Kelantan,49330,23946,25384
2024-10-01,Melaka,3497,1638,1859
2024-10-01,Negeri Sembilan,5109,2943,2166
2024-10-01,Pahang,937,554,383
2024-10-01,Perak,14155,6432,7723
2024-10-01,Perlis,58045,30079,27966
2024-10-01,Pulau Pinang,100650,46659,53991
2024-10-01,Sabah,44282,19827,24455
2024-10-01,Sarawak,150799,83570,67229
2024-10-01,Selangor,768771,415016,353755
2024-10-01,Terengganu,7,4,3
2024-10-01,W.P. Labuan,1089,772,317
