POINT_OF_ENTRY,VISITOR ARRIVAL COUNT,LATITUDE,LONGITUDE,REGION,STATE,TRANSPORT
Tambak Johor,14074417,1.452772,103.769153,West,Johor,LAND
Gelang Patah,6567387,1.449133,103.602057,West,Johor,LAND
Sungai Tujuh,839992,5.289,100.32,West,Pulau Pinang,LAND
Bukit Kayu Hitam,718149,6.106,100.426,West,Kedah,LAND
Padang Besar,606384,6.416,100.383,West,Kedah,LAND
KLIA,4548399,2.74333,101.69806,West,Selangor,AIR
OTHERS SEA,281320,1.467,103.753,West,Johor,SEA
Woodlands Train Checkpoint,584600,1.443778,103.769611,West,Johor,RAIL
KLIA 2,4129197,2.7450794,101.6847154,West,Selangor,AIR
OTHERS SEA,146413,5.4157,100.36603,West,Pulau Pinang,SEA
LTA Bayan Lepas,1151386,5.3194422,100.2952329,West,Pulau Pinang,AIR
OTHERS SEA,143638,3.02,101.421,West,Selangor,SEA
OTHERS AIR,578360,5.937,116.073,East,Sabah,AIR
OTHERS SEA,123112,1.453,104.06,West,Johor,SEA
OTHERS AIR,139824,1.688,103.639,West,Johor,AIR
OTHERS AIR,88888,2.039,102.553,West,Johor,AIR